ID,Order,Rep,Loc,Cover,Ground,Lure,Motion,Dist
Jaybird,14,1,6,O,B,B,M,50
Jaybird,15,2,6,O,B,W,M,60
Jaybird,16,1,7,F,B,W,M,25
Jaybird,17,2,7,F,B,B,M,22
Jaybird,18,1,8,F,W,W,M,24
Jaybird,19,2,8,F,W,B,M,24
Jaybird,20,1,9,O,W,B,M,54
Jaybird,21,2,9,O,W,W,M,53
Jaybird,22,1,10,F,B,W,M,20
Jaybird,23,2,10,F,B,B,M,20
Jaybird,24,1,11,O,B,B,M,61
Jaybird,25,2,11,O,B,W,M,61
Jaybird,26,1,12,O,W,B,M,55
Jaybird,27,2,12,O,W,W,M,56
Jaybird,28,1,13,F,W,B,M,18
Jaybird,29,2,13,F,W,W,M,17
Jaybird,30,1,14,F,B,B,M,24
Jaybird,31,2,14,F,B,W,M,26
Jaybird,32,1,15,O,B,W,M,59
Jaybird,33,2,15,O,B,B,M,59
Jaybird,34,1,16,F,W,W,M,18
Jaybird,35,2,16,F,W,B,M,18
Jaybird,36,1,17,O,W,W,M,50
Jaybird,37,2,17,O,W,B,M,51
Jaybird,38,1,18,O,B,B,M,45
Jaybird,39,2,18,O,B,W,M,45
Jaybird,40,1,19,F,B,B,M,21
Jaybird,41,2,19,F,B,W,M,23
Jaybird,42,1,20,O,W,W,M,57
Jaybird,43,2,20,O,W,B,M,57
Jaybird,44,1,21,F,W,B,M,14
Jaybird,45,2,21,F,W,W,M,14
Jaybird,46,1,22,F,W,B,M,19
Jaybird,47,2,22,F,W,W,M,18
Jaybird,48,1,23,O,W,B,M,74
Jaybird,49,2,23,O,W,W,M,72
Jaybird,50,1,24,F,W,W,M,16
Jaybird,51,2,24,F,W,B,M,17
Jaybird,52,1,25,O,W,W,M,64
Jaybird,53,2,25,O,W,B,M,65
Jaybird,54,1,26,O,B,B,M,57
Jaybird,55,2,26,O,B,W,M,60
Jaybird,56,1,27,F,B,B,M,21
Jaybird,57,2,27,F,B,W,M,23
Jaybird,58,1,28,F,B,W,M,18
Jaybird,59,2,28,F,B,B,M,17
Jaybird,60,1,29,O,B,B,M,62
Jaybird,61,2,29,O,B,W,M,65
Jaybird,62,1,30,O,B,B,M,45
Jaybird,63,2,30,O,B,W,M,47
Ruth,8,1,34,O,B,B,M,8
Ruth,9,2,34,O,B,W,M,10
